stopA_id,stopB_id,lat_A,long_A,lat_B,long_B
S10,S11,5.67904,-0.350009,5.6963,-0.317257
S100,S101,5.53851,-0.400462,5.53779,-0.402923
S100,S907,5.53851,-0.400462,5.53782,-0.402985
S100,S907,5.53851,-0.400462,5.53782,-0.402985
S1000,S1153,5.53417,-0.235723,5.53479,-0.23291
S1000,S1001,5.53417,-0.235723,5.53562,-0.228926
S1000,S2093,5.53417,-0.235723,5.5348,-0.244422
S1000,S1001,5.53417,-0.235723,5.53562,-0.228926
S1000,S4917,5.53417,-0.235723,5.53459,-0.242188
S1001,S1153,5.53562,-0.228926,5.53479,-0.23291
S1001,S998,5.53562,-0.228926,5.53505,-0.243684
S1001,T2497,5.53562,-0.228926,5.53665,-0.230805
S1001,S4360,5.53562,-0.228926,5.53387,-0.237301
S1003,S898,5.53853,-0.215757,5.5412,-0.215313
S1003,S1154,5.53853,-0.215757,5.53375,-0.237963
S1003,S4512,5.53853,-0.215757,5.53895,-0.213043
S1005,S899,5.54324,-0.216218,5.54507,-0.216699
S1007,T883,5.54756,-0.217718,5.54963,-0.217147
S1007,T1081,5.54756,-0.217718,5.54539,-0.215964
S101,S102,5.53779,-0.402923,5.53572,-0.412741
S1011,S1013,5.55697,-0.231807,5.55235,-0.230566
S1011,S1018,5.55697,-0.231807,5.55389,-0.231403
S1013,S1014,5.55235,-0.230566,5.54121,-0.225258
S1014,S1015,5.54121,-0.225258,5.53856,-0.21526
S1015,S925,5.53856,-0.21526,5.53856,-0.21552
S1018,S2664,5.55389,-0.231403,5.5386,-0.222124
S102,S5407,5.53572,-0.412741,5.53492,-0.423064
S102,T103,5.53572,-0.412741,5.53462,-0.423644
S102,T103,5.53572,-0.412741,5.53462,-0.423644
S102,T103,5.53572,-0.412741,5.53462,-0.423644
S102,T103,5.53572,-0.412741,5.53462,-0.423644
S102,T103,5.53572,-0.412741,5.53462,-0.423644
S102,T103,5.53572,-0.412741,5.53462,-0.423644
S1022,S1023,5.53802,-0.218211,5.55802,-0.231264
S1022,S1854,5.53802,-0.218211,5.5368,-0.255804
S1023,S1025,5.55802,-0.231264,5.56335,-0.232579
S1023,S2178,5.55802,-0.231264,5.55393,-0.231442
S1023,S4727,5.55802,-0.231264,5.55566,-0.232402
S1025,T75,5.56335,-0.232579,5.56507,-0.235921
S1025,T75,5.56335,-0.232579,5.56507,-0.235921
S1025,S1102,5.56335,-0.232579,5.56432,-0.234364
S1032,S206,5.55764,-0.212383,5.55201,-0.210928
S1037,S1038,5.58282,-0.216685,5.5908,-0.216965
S1038,S1039,5.5908,-0.216965,5.59415,-0.216658
S1038,T1028,5.5908,-0.216965,5.5957,-0.216953
S1039,T1028,5.59415,-0.216658,5.5957,-0.216953
S1039,S2938,5.59415,-0.216658,5.59845,-0.217003
S1051,S1052,5.5984,-0.212234,5.59636,-0.209835
S1052,T1053,5.59636,-0.209835,5.5919,-0.204736
S1056,S1057,5.59465,-0.216799,5.59172,-0.216901
S1057,T1048,5.59172,-0.216901,5.59087,-0.217519
S106,S108,5.5473,-0.338736,5.55147,-0.328514
S1061,S1062,5.56722,-0.169447,5.56398,-0.172133
S1062,S1064,5.56398,-0.172133,5.56631,-0.179096
S1064,S1065,5.56631,-0.179096,5.5662,-0.181151
S1065,S1067,5.5662,-0.181151,5.56446,-0.181385
S1067,S1068,5.56446,-0.181385,5.561,-0.181934
S1068,S1069,5.561,-0.181934,5.55961,-0.182148
S1069,S5631,5.55961,-0.182148,5.55498,-0.183329
S1069,S6017,5.55961,-0.182148,5.55457,-0.181795
S1069,S1070,5.55961,-0.182148,5.55662,-0.182655
S1069,S4437,5.55961,-0.182148,5.56612,-0.181032
S1070,S1071,5.55662,-0.182655,5.54874,-0.194817
S1071,T244,5.54874,-0.194817,5.54863,-0.201709
S1075,S1076,5.56062,-0.186797,5.56624,-0.184642
S1076,S1077,5.56624,-0.184642,5.56345,-0.172363
S1077,S1078,5.56345,-0.172363,5.56483,-0.171056
S1078,S1079,5.56483,-0.171056,5.56898,-0.168899
S1079,T1059,5.56898,-0.168899,5.56742,-0.163812
S108,S109,5.55147,-0.328514,5.57634,-0.274154
S1088,S1007,5.55011,-0.22034,5.54756,-0.217718
S109,S110,5.57634,-0.274154,5.57635,-0.254699
S1093,S1094,5.55907,-0.230633,5.56348,-0.232915
S1094,S1095,5.56348,-0.232915,5.56423,-0.23427
S1095,S1096,5.56423,-0.23427,5.56951,-0.242754
S1096,S1097,5.56951,-0.242754,5.57734,-0.255653
S1096,S1129,5.56951,-0.242754,5.57285,-0.248525
S1097,T1098,5.57734,-0.255653,5.58043,-0.26366
S11,S12,5.6963,-0.317257,5.69745,-0.31501
S110,S111,5.57635,-0.254699,5.56564,-0.236896
S110,S1350,5.57635,-0.254699,5.56501,-0.235657
S110,S1723,5.57635,-0.254699,5.57069,-0.245412
S110,S1775,5.57635,-0.254699,5.57004,-0.24418
